DirectorId,FirstName,LastName
1,Theodore,Melfi
2,Blake,Edwards
3,Chris,Columbus
4,Alfonso,Cuarón
5,Mike,Newell
6,David,Yates
7,Jon,Watts
8,Chris,Buck
9,Jennifer,Lee
10,Byron,Howard
11,Rich,Moore
12,Jared,Bush
13,Derek,Tsang
14,Damien,Chazelle
15,John,Carpenter
16,Matthijs van,Heijningen
17,Nzingha,Stewart
18,Chris,Columbus
19,Kenny,Ortega
20,Baz,Luhrmann
21,Wes,Anderson
22,Peter,Weir
23,Giddens,Ko
24,Yu Shan,Chen
25,Kar-Wai,Wong
26,Woody,Allen
27,Patty,Jenkins
28,M. Night,Shyamalan
29,Spike ,Jonze
30,Pete,Docter
31,Bob,Peterson
32,Ang,Lee
